source_row,set,bin,k,q_squared,x_b,t,phi_deg,phi,unp_beam_unp_target_xsec,unp_beam_unp_target_xsec_err,unp_beam_unp_target_xsec_errstat,unp_beam_unp_target_xsec_errsyst_plus,unp_beam_unp_target_xsec_errsyst_minus,xsec_diff,xsec_diff_err,xsec_diff_errstat,xsec_diff_errsyst_plus,xsec_diff_errsyst_minus,bsa_from_central_values,experiment_year,experiment,link,ReH,ReHt,ReE,ReEt,ImH,ImHt,ImE,ImEt,DVCS
30,3,6,5.55,1.52,0.361,-0.298,195.0,-2.8797932657906435,0.0543,0.008382079321982107,0.0082,0.0017376,0.0017376,-0.00521,0.006902013877007203,0.0069,0.00016672,0.00016672,-0.09594843462246777,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.4807,0.99482,1.9045,78.88777,2.61524,1.34604,0,0,0.041347086
31,3,7,5.55,1.52,0.361,-0.298,225.0,-2.356194490192345,0.0696,0.007155446865151051,0.0068,0.0022272,0.0022272,-0.0053,0.005902437137318787,0.0059,0.0001696,0.0001696,-0.07614942528735633,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.4807,0.99482,1.9045,78.88777,2.61524,1.34604,0,0,0.041347086
32,3,8,5.55,1.52,0.361,-0.298,255.0,-1.8325957145940461,0.0705,0.006785980842884837,0.0064,0.002256,0.002256,-0.000777,0.006100050673436739,0.0061,2.4864e-05,2.4864e-05,-0.011021276595744683,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.4807,0.99482,1.9045,78.88777,2.61524,1.34604,0,0,0.041347086
33,3,9,5.55,1.52,0.361,-0.298,285.0,-1.3089969389957472,0.0824,0.006921901056790685,0.0064,0.0026368,0.0026368,-0.016,0.00632077083906702,0.0063,0.000512,0.000512,-0.1941747572815534,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.4807,0.99482,1.9045,78.88777,2.61524,1.34604,0,0,0.041347086
34,3,10,5.55,1.52,0.361,-0.298,315.0,-0.7853981633974483,0.083,0.006561580297458837,0.006,0.002656,0.002656,-0.0124,0.006512100294067959,0.0065,0.0003968,0.0003968,-0.14939759036144576,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.4807,0.99482,1.9045,78.88777,2.61524,1.34604,0,0,0.041347086
35,3,11,5.55,1.52,0.361,-0.298,345.0,-0.2617993877991494,0.0898,0.00868893416708862,0.0082,0.0028736,0.0028736,-0.0133,0.008011312961057008,0.008,0.0004256,0.0004256,-0.1481069042316258,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.4807,0.99482,1.9045,78.88777,2.61524,1.34604,0,0,0.041347086
36,4,0,5.55,1.74,0.359,-0.183,7.5,0.1308996938995747,0.0962,0.004512931038693146,0.0033,0.0030784,0.0030784,0.00457,0.004202545197567778,0.0042,0.00014624,0.00014624,0.04750519750519751,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.51484,1.34742,2.18225,126.28265,3.20275,1.49975,0,0,0.03471983
37,4,1,5.55,1.74,0.359,-0.183,22.5,0.39269908169872414,0.0896,0.004296607480326775,0.0032,0.0028672,0.0028672,0.0082,0.0042081888930987875,0.0042,0.0002624,0.0002624,0.09151785714285715,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.51484,1.34742,2.18225,126.28265,3.20275,1.49975,0,0,0.03471983
38,4,2,5.55,1.74,0.359,-0.183,37.5,0.6544984694978736,0.0902,0.004309443694956461,0.0032,0.0028864,0.0028864,0.00177,0.004100391211774799,0.0041,5.664e-05,5.664e-05,0.019623059866962306,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.51484,1.34742,2.18225,126.28265,3.20275,1.49975,0,0,0.03471983
39,4,3,5.55,1.74,0.359,-0.183,52.5,0.9162978572970231,0.0848,0.004119905940673889,0.0031,0.0027136,0.0027136,0.0099,0.004012525668453723,0.004,0.0003168,0.0003168,0.11674528301886794,E07-007 Hall A,E07-007 Hall A,https://www.nature.com/articles/s41467-017-01819-3,-2.51484,1.34742,2.18225,126.28265,3.20275,1.49975,0,0,0.03471983
